(568,1,3.5),
(7942,1,3.75),
(831,1,3.5),
(4707,1,2.25),
(4746,1,5.0),
(3893,2,6.25),
(1248,2,4.0),
(7260,2,8.75),
(1457,2,7.0),
(7496,2,3.0),
(3779,2,2.0),
(4875,2,9.5),
(4141,2,8.5),
(1890,2,8.25),
(6291,3,6.75),
(8075,3,3.75),
(8765,3,4.75),
(7375,3,2.5),
(5269,3,6.75),
(8242,4,5.0),
(3572,4,1.5),
(1531,4,1.25),
(3482,4,9.75),
(6677,4,0.25),
(5983,4,7.5),
(4601,5,3.5),
(7604,5,3.75),
(8690,5,4.0),
(7796,5,2.25),
(8104,5,8.5),
(506,5,4.25),
(3161,5,0.0),
(8600,5,2.25),
(1549,6,4.75),
(5314,6,6.0),
(3479,6,6.0),
(2255,6,0.75),
(1042,6,3.75),
(7770,6,3.0),
(8554,7,5.0),
(5375,7,9.5),
(8045,7,5.5),
(2068,7,9.75),
(940,7,3.75),
(690,8,6.5),
(6355,8,7.0),
(6545,8,3.75),
(2856,8,2.25),
(633,8,4.75),
(862,8,3.5),
(6066,9,2.5),
(5078,9,5.25),
(1161,9,4.25),
(7148,9,1.5),
(4586,9,3.25),
(2746,9,2.0),
(5891,9,0.0),
(3332,10,9.75),
(3184,10,9.75),
(1372,10,7.5),
(1322,10,0.75),
(7206,10,2.5),
(8940,10,1.0),
(5158,10,7.5),
(4767,10,8.25),
(2019,11,4.5),
(7142,11,7.75),
(3127,11,4.0),
(6554,11,9.75),
(8914,11,3.0),
(8595,11,7.0),
(2894,12,3.5),
(2215,12,3.75),
(2785,12,9.25),
(4825,12,5.5),
(4609,12,0.5),
(955,12,5.25),
(3771,12,1.75),
(6310,12,6.75),
(5207,12,2.0),
(5518,13,5.75),
(6371,13,6.75),
(2694,13,5.0),
(1833,13,8.75),
(6313,13,5.75),
(1596,13,7.75),
(175,13,9.25),
(4495,14,9.25),
(4562,14,1.75),
(216,14,4.0),
(7420,14,3.0),
(8113,14,7.0),
(6940,14,5.25),
(4451,14,2.25),
(5997,14,5.75),
(8206,14,7.0),
(3529,15,7.75),
(3496,15,2.25),
(7544,15,6.5),
(2936,15,2.75),
(1582,15,2.25),
(7085,15,8.0),
(3868,15,8.0),
(2361,16,0.5),
(5294,16,6.75),
(2018,16,4.75),
(3903,16,2.25),
(6574,16,5.75),
(5453,16,3.5),
(8143,16,2.75),
(8637,16,6.75),
(4142,17,6.0),
(8546,17,8.75),
(2833,17,2.75),
(2802,17,3.25),
(7928,17,4.0),
(6845,17,7.5),
(7387,18,1.75),
(2449,18,9.0),
(5576,18,2.5),
(2121,18,2.25),
(7770,18,5.25),
(3766,18,4.0),
(2261,18,9.75),
(12,18,8.75),
(5885,18,7.25),
(6550,19,5.0),
(4155,19,9.0),
(603,19,6.0),
(5766,19,3.5),
(7236,19,9.0),
(558,19,4.25),
(4258,19,9.0),
(3664,19,1.25),
(2073,20,8.25),
